,Tweet,Time,nb_favorites
466,rt falcon 9 launch dragon,2022-07-15 03:54:30+00:00,0
467,dragon launch 2 min,2022-07-15 00:42:42+00:00,49847
468,rt tomorrow 8 44pm et s 25th cargo resuppli mission lift launch complex 39a weather offici cont,2022-07-14 08:05:01+00:00,0
469,rt dog mode air condit stay car lock keep pet safe amp comfort,2022-07-13 15:46:57+00:00,0
470,cinematographi,2022-07-13 15:15:37+00:00,492338
471,starship launch site tonight,2022-07-13 05:38:17+00:00,112776
472,excit potenti,2022-07-13 01:23:15+00:00,95424
473,oh ironi lol,2022-07-12 22:10:05+00:00,223683
474,tesla s automat cabin overheat protect make real differ record heatwav abil adjust,2022-07-12 01:23:04+00:00,78588
475,,2022-07-11 20:51:22+00:00,300422
476,improv qualiti sleep rais head bed 3 5cm eat 3 hour bedtim,2022-07-11 15:34:12+00:00,367577
477,polar launch enabl complet coverag earth approv local govern,2022-07-11 05:36:17+00:00,55038
478,,2022-07-11 04:08:56+00:00,360008
479,,2022-07-11 04:04:00+00:00,1129181
480,super fire futur product develop awesom tesla team honor work,2022-07-07 22:02:54+00:00,136134
481,starlink boat,2022-07-07 20:59:12+00:00,102217
482,rt addit withstand extrem cold heat hail sleet heavi rain gale forc wind starlink rug enough wit,2022-07-07 19:29:50+00:00,0
483,mayb tesla make high configur robovan peopl amp cargo,2022-07-07 14:26:00+00:00,119321
484,hope big famili congrat alreadi,2022-07-07 14:19:47+00:00,258943
485,popul mar still zero peopl,2022-07-07 14:17:45+00:00,302427
486,best help underpopul crisi collaps birth rate biggest danger civil face far,2022-07-07 14:04:41+00:00,264173
